	N1	N4	N6	N3	N5	N2	enrichment_term			
REACTOME_GPCR_LIGAND_BINDING	0.35729354	0	8.141999445	0.202533751	0	2.507928855	REACTOME_GPCR_LIGAND_BINDING			
GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0	0.095919571	0	0.092901789	5.710203165	1.953568095	GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY			
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.162555356	0.2803495	3.509444386	0	0.478275847	0.985467473	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION			
GO_CYTOKINE_RECEPTOR_ACTIVITY	0	0.439272443	3.006379324	0	0.661633278	0.820046158	GO_CYTOKINE_RECEPTOR_ACTIVITY			
HUTTMANN_B_CLL_POOR_SURVIVAL_UP	5.796770504	0.77203187	0.20534052	0.500838204	0.341847531	0.552199651	HUTTMANN_B_CLL_POOR_SURVIVAL_UP			
GO_SPHINGOLIPID_METABOLIC_PROCESS	3.630358476	0	0.393894928	0.164978021	0	0.279766295	GO_SPHINGOLIPID_METABOLIC_PROCESS			
RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN	1.97241816	0.335148586	1.038799219	15.35302194	0.167509396	0.255592629	RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN			
GO_PROTEIN_ACETYLATION	0.000309164	9.307057817	0	0.003933284	0.346225934	0.248654654	GO_PROTEIN_ACETYLATION			
HALLMARK_MYC_TARGETS_V2	0.152789462	0	0	11.96178773	0	0.150057098	HALLMARK_MYC_TARGETS_V2			
GO_HISTONE_H4_ACETYLATION	0	9.010773578	0	0	0.207342548	0.115653466	GO_HISTONE_H4_ACETYLATION			
HALLMARK_E2F_TARGETS	0.000360896	0.553515897	0.216306561	10.15638407	0.154317845	0.081993218	HALLMARK_E2F_TARGETS			
GUTIERREZ_CHRONIC_LYMPHOCYTIC_LEUKEMIA_DN	0.448213267	6.184834996	0.327534703	0.39053525	1.417149212	0.051105003	GUTIERREZ_CHRONIC_LYMPHOCYTIC_LEUKEMIA_DN			
GO_BLOOD_MICROPARTICLE	0.03987271	0.103184487	0.293921486	0.100039927	0.243822453	0.03900648	GO_BLOOD_MICROPARTICLE			
GO_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS	6.703654486	0.199846727	0.051670483	1.885747143	0.007087691	0.03477186	GO_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS			
GO_EXTRACELLULAR_MATRIX	6.298763589	0.55770294	0	0	0.111884366	0.033112074	GO_EXTRACELLULAR_MATRIX			
GO_PROTEIN_ACETYLTRANSFERASE_COMPLEX	0	6.438023759	0	0	0.109644673	0.031706179	GO_PROTEIN_ACETYLTRANSFERASE_COMPLEX			
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	0.000711706	6.233728216	0.038879543	0.017721677	0.329411701	0.029932914	GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II			
GO_CHROMATIN_BINDING	1.39E-05	9.092236735	0.02877367	0.202935989	0.013987075	0.015897691	GO_CHROMATIN_BINDING			
HALLMARK_MYC_TARGETS_V1	0.040676126	0.06723786	1.688448393	8.85499256	0.015352767	0.005857284	HALLMARK_MYC_TARGETS_V1			
GO_CHROMATIN	0.000297064	7.293056217	0.018023364	0.006472836	0.444881021	0.005579723	GO_CHROMATIN			
GO_DNA_PACKAGING	0.005518243	6.373123082	0.142308757	4.747517373	0.107455274	0.005312836	GO_DNA_PACKAGING			
REACTOME_MITOCHONDRIAL_TRANSLATION	41.37824513	0	0	0.109332179	0	0.005044115	REACTOME_MITOCHONDRIAL_TRANSLATION			
KEGG_OXIDATIVE_PHOSPHORYLATION	0.004052538	0.099391879	3.430076124	0.095102421	0	0.003891571	KEGG_OXIDATIVE_PHOSPHORYLATION			
GO_CHROMATIN_ORGANIZATION	1.18E-07	12.97928736	0.03188702	0.154647006	0.032026183	0.003410659	GO_CHROMATIN_ORGANIZATION			
REACTOME_TRANSLATION	19.06065176	0	0.702852368	0.604600639	0	0.002958906	REACTOME_TRANSLATION			
GO_GLYCOSYLATION	5.977725449	0.018385139	0.115532116	0.017358503	0.084651153	0.002851001	GO_GLYCOSYLATION			
REACTOME_CELL_CYCLE_CHECKPOINTS	0	0.473522009	0.923649891	4.803457005	0.018788769	0.002485673	REACTOME_CELL_CYCLE_CHECKPOINTS			
REACTOME_CHROMATIN_ORGANIZATION	0.001894545	7.754006285	0	0.000893579	0.076018273	0.001772868	REACTOME_CHROMATIN_ORGANIZATION			
REACTOME_CELL_CYCLE_MITOTIC	2.85E-06	1.752012067	0.449134432	3.799478559	0.030392244	0.000288277	REACTOME_CELL_CYCLE_MITOTIC			
GO_RIBOSOME	23.66521439	0	0.817828798	0.057488342	0	0.000230665	GO_RIBOSOME			
GO_MITOCHONDRIAL_MATRIX	23.34875359	0.000208215	0.040217932	5.191114392	0	6.71E-05	GO_MITOCHONDRIAL_MATRIX			
GO_MITOCHONDRIAL_ENVELOPE	25.82996076	0.056614212	1.223457701	1.080077064	4.98E-05	1.79E-05	GO_MITOCHONDRIAL_ENVELOPE			
GO_DNA_PACKAGING_COMPLEX	0	6.649678446	0.446200379	1.823155592	0	0	GO_DNA_PACKAGING_COMPLEX			
GO_NUCLEOSOME_BINDING	0.034000525	6.393833287	0.275999743	0.089545891	0	0	GO_NUCLEOSOME_BINDING			
REACTOME_COHESIN_LOADING_ONTO_CHROMATIN	0	6.741961991	0	0	0	0	REACTOME_COHESIN_LOADING_ONTO_CHROMATIN			
REACTOME_HATS_ACETYLATE_HISTONES	0	9.493036398	0	0	0	0	REACTOME_HATS_ACETYLATE_HISTONES			
REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS	0	6.411192219	0	0	0	0	REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS			
GO_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	0.221929733	0.123797615	1.46550834	0.289535478	0	0	GO_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN			2.037930619
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	0.202207481	0	1.417709918	0	0	0	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT			2.922960905
