N-.1	N-.2	N-.3	N-.4	N-.5	N-.6	enrichment_term
AIGNER_ZEB1_TARGETS	0	0	0	0	0	0	AIGNER_ZEB1_TARGETS
AIYAR_COBRA1_TARGETS_DN	0	0.221209693179314	0.945692338505699	0	0	0.632150982720525	AIYAR_COBRA1_TARGETS_DN
AIYAR_COBRA1_TARGETS_UP	3.10463693517521	0.253405360535877	0.388330629480072	0.394129753755794	0	0.677216219946828	AIYAR_COBRA1_TARGETS_UP
AKL_HTLV1_INFECTION_DN	0.0904447547031421	0.649325789521967	0.178884783634561	0.183120859443724	0.951433334039808	0	AKL_HTLV1_INFECTION_DN
AKL_HTLV1_INFECTION_UP	1.82408756448902	0.194051933131016	0.31708299217405	0	0	0	AKL_HTLV1_INFECTION_UP
AKT_UP.V1_DN	0.616046503635158	0.137545803474657	0.0895458914606524	0.314187051572807	0.227259418845521	0.275999742911546	AKT_UP.V1_DN
AKT_UP.V1_UP	1.93500068454974	0.0176171375797816	2.40060209068717	1.31007369180127	0.523163921937646	0.217197331835211	AKT_UP.V1_UP
AKT_UP_MTOR_DN.V1_DN	1.36937441007855	0.0719944619211863	0.78563963516854	0.204129851730428	0.162718252674211	0	AKT_UP_MTOR_DN.V1_DN
AKT_UP_MTOR_DN.V1_UP	0.954260312944406	0.184199275496321	0.769251403148328	1.21551441095919	0	0.590306787884332	AKT_UP_MTOR_DN.V1_UP
ALCALA_APOPTOSIS	0.551475224322507	1.59107990016952	0.692913778965905	1.10855774391643	2.09056977669132	0.183242449246567	ALCALA_APOPTOSIS
ALCALAY_AML_BY_NPM1_LOCALIZATION_DN	0.664717847031625	0.231095077025999	4.96398620479069	0	1.26705520250488	0	ALCALAY_AML_BY_NPM1_LOCALIZATION_DN
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	1.30631899265199	0.0570007733238374	0.13034202097845	0.133964268594132	0	0.342503718993918	ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALFANO_MYC_TARGETS	0.220850309815569	0.528398228886255	4.26028607154431	0.963503707636988	0.185292755744239	0.0712506397094424	ALFANO_MYC_TARGETS
ALK_DN.V1_DN	0	1.22716242814352	0.597660583317671	0.207019544265557	0	0	ALK_DN.V1_DN
ALK_DN.V1_UP	0	0.112055497132362	1.18298067271172	0.629885147983659	0.398622424825515	2.07378091674974	ALK_DN.V1_UP
ALONSO_METASTASIS_DN	0	0	0	0	0	0	ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN	0	0	0	0	0	0	ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP	1.45949945865836	0.271820831964657	0	0.415752086919552	0.635295089597173	0.70219012856913	ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP	0	0	0	0	0	0	ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP	2.28641042181454	0.0729954694210601	0.740720157875057	0.764406176090323	1.26477606928815	1.02626460469884	ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	1.03883988864164	1.55264315361898	1.59619074386505	0.169053618412814	0.33758761365819	0	ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53	0.334168536829865	0.607816089619033	0	0.092501851764997	0.227259418845521	0.275999742911546	AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES	0	0	0	0	0	0	AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA	0.127790614726195	0.82916063306491	0.664769356769223	0	0	0	AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A	0.238946778882583	0.686708313824753	0.368473745102368	0	0	0	AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA	0	0	0	0	0	0	AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A	0	0	0	0	0	0	AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA	0.357293539793884	1.22716242814352	0	0	0.387364835473396	0.446200378884608	AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A	0	0	0	0	0	0	AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA	0.238946778882583	0	0	0.374170773487695	0	1.60214966367856	AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A	0	0	0	0	0	0	AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA	0.0915312754055917	1.55131127708331	0.825000446048667	0.84719593740967	0.105314798906002	0	AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A	0.255821386198775	0.727412585653949	0	0.394129753755794	0.610880760442698	0	AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA	0.274307275075792	0.77168452712693	0	0	0	0	AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A	0.317102771137706	0.314470963656187	0	0	0	0	AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF10A	0.135590197197273	0.428194532720143	0	0	0	0.496501356374911	AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A	0	0	0	0	0	0	AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF10A	0.733056882034259	0	0.388330629480072	0	0	0	AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A	0.937862091388954	0	0	0	0.721298075397885	0	AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF10A	0	0	0	0	0	0	AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A	0	0.253405360535877	0	0.394129753755794	0.610880760442698	0	AMIT_SERUM_RESPONSE_60_MCF10A
AMUNDSON_DNA_DAMAGE_RESPONSE_TP53	0	0	0	0	0	0	AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
AMUNDSON_RESPONSE_TO_ARSENITE	0.204623141163516	0.0488602162430094	1.61068202941549	0.924271930670636	0.0458101752192405	0.243359586628211	AMUNDSON_RESPONSE_TO_ARSENITE
ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	0	0	0	0	0	0	ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
ANDERSEN_CHOLANGIOCARCINOMA_CLASS1	0	0.314470963656187	0	0.464977742602356	0	0	ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
ANDERSEN_CHOLANGIOCARCINOMA_CLASS2	0.184115671063548	1.07874523032601	0.83497155550688	0	0	1.42986618869081	ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
ANDERSEN_LIVER_CANCER_KRT19_DN	0.802890603911805	0	0.220484765349727	0.225143124407058	0.410386125598626	0	ANDERSEN_LIVER_CANCER_KRT19_DN
ANDERSEN_LIVER_CANCER_KRT19_UP	0.143948390663802	0.449916712109934	0.251407889132776	0	0	0.51055435713071	ANDERSEN_LIVER_CANCER_KRT19_UP
APPEL_IMATINIB_RESPONSE	2.84748055714543	0.221209693179314	0.350084537271857	0.958196619260197	0	0	APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETINIDE_DN	1.11322751562779	0	0.178884783634561	0	0	0	APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETINIDE_UP	0.196201115832528	0.194051933131016	0.31708299217405	0.322481483864502	1.33267299377062	0	APPIERTO_RESPONSE_TO_FENRETINIDE_UP
APRELIKOVA_BRCA1_TARGETS	0.340929161810172	0	0.577332672183134	0	0	0	APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	0	0	0	0.415752086919552	0.635295089597173	0	ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING	0.0854956584398246	1.60214900577965	0	0	0.929872430149418	0	ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISORDER_DN	0.00923928800227412	1.90198157427442	0.349676257737843	0.360646147536475	0	0.514529280872201	ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISORDER_UP	0.196201115832528	0	0.31708299217405	0	0.528321942314683	0	ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
ATF2_S_UP.V1_DN	0.770304832824303	0.426001592939518	0.378600071435217	0.387569252642467	1.39186715630309	0.320397173776572	ATF2_S_UP.V1_DN
ATF2_S_UP.V1_UP	0.0764650681256461	0.267278353824424	0.158513038185974	0	0	0.384566451964056	ATF2_S_UP.V1_UP
ATF2_UP.V1_DN	0.289142162551844	0.535621071287688	0.0773939955453375	0.595928570171568	0.20734254843996	0.254313809219608	ATF2_UP.V1_DN
ATF2_UP.V1_UP	0.159552579185699	0.66889579654595	0.695632324598264	0.103184486927998	1.29743894585175	0	ATF2_UP.V1_UP
ATM_DN.V1_DN	0.172929501765738	1.66674620248728	0	0	0	0	ATM_DN.V1_DN
ATM_DN.V1_UP	0	1.47938920543912	0	0.726920801316634	1.15854105014267	0	ATM_DN.V1_UP
AUJLA_IL22_AND_IL17A_SIGNALING	0	0	0	0	0	0	AUJLA_IL22_AND_IL17A_SIGNALING
AUNG_GASTRIC_CANCER	0.374588319703937	0.37025358574564	0.618960294782066	0.215840740924227	0.398622424825515	0	AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN	0	0	0	0	0	0	AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP	1.06662012247556	1.0546597066304	0.10003992672239	1.18736303547953	0.243822453014786	0.29392148597147	AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS	0	0.686708313824753	0	0	0.588155576565743	0	AZARE_STAT3_TARGETS
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN	0	0.624182930648926	0.521562910036603	0.175916824169126	0	0.40357064918584	BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP	0	0	0	0	0	0	BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP
BAE_BRCA1_TARGETS_DN	0.238946778882583	0.236599675697216	0.368473745102368	1.00050963015683	0	0	BAE_BRCA1_TARGETS_DN
BAE_BRCA1_TARGETS_UP	0.82209857963505	0.459138527722673	0.12543216111975	0.830954961421595	0	0.901876115881306	BAE_BRCA1_TARGETS_UP
BAELDE_DIABETIC_NEPHROPATHY_DN	2.11467003106094	0.507163773463248	0.0480773532142	1.67864367986534	1.23309847723775	0.326357328743729	BAELDE_DIABETIC_NEPHROPATHY_DN
BAELDE_DIABETIC_NEPHROPATHY_UP	0.502543277545009	0	0.771807458356719	1.45576951139113	2.15155057301308	0	BAELDE_DIABETIC_NEPHROPATHY_UP
BAFNA_MUC4_TARGETS_DN	0	0	0	0	0	0	BAFNA_MUC4_TARGETS_DN
BAFNA_MUC4_TARGETS_UP	0	0	0	0	0	0	BAFNA_MUC4_TARGETS_UP
BAKER_HEMATOPOESIS_STAT1_TARGETS	0	0	0	0	0	0	BAKER_HEMATOPOESIS_STAT1_TARGETS
BAKER_HEMATOPOESIS_STAT5_TARGETS	0	0	0	0	0	0	BAKER_HEMATOPOESIS_STAT5_TARGETS
BAKER_HEMATOPOIESIS_STAT3_TARGETS	0	0	0	0	0	0	BAKER_HEMATOPOIESIS_STAT3_TARGETS
BAKKER_FOXO3_TARGETS_DN	0.196017634247776	0.191530813651132	0.499486133059517	0.273092032481435	0.342085968871374	0	BAKKER_FOXO3_TARGETS_DN
BAKKER_FOXO3_TARGETS_UP	0.101323420503946	0.703367878672447	0.577332672183134	0	0.997056405485389	0	BAKKER_FOXO3_TARGETS_UP
BALDWIN_PRKCI_TARGETS_UP	0.209286606918389	0	0	0.338496911636046	0.547026492779982	1.51090057254654	BALDWIN_PRKCI_TARGETS_UP
BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION	0	0	0	0	0	0	BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN	0	0.873140754576696	0	0.464977742602356	0	0	BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP	0	0	0	0	0	0	BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN	0.194833257687453	1.35293693590265	1.21245946331019	1.23835682360314	0.496041617891014	0.205071585053693	BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP	0	0	0	0	0	0	BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN	0	0	0	0	0	0	BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP	0	0.398485267677524	0.552824393574245	0	0	0	BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN	0	0.686708313824753	0	0.374170773487695	0	0	BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP	0	0	0	0	0	0	BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP
BARIS_THYROID_CANCER_DN	0.325430446328262	0.675692716386465	0	0.568427077764296	0	0	BARIS_THYROID_CANCER_DN
BARIS_THYROID_CANCER_UP	0.619680422656972	0	0	0.918705839982607	0	0	BARIS_THYROID_CANCER_UP
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN	0	0	0	0	0.478275847068507	0	BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP	0	0.271820831964657	0.409849568006512	0.415752086919552	0	0	BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP
BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN	0	0	0	0	0	0	BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN
BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP	0	0	0	0	0.755429678883022	1.97058661689215	BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP
BARRIER_COLON_CANCER_RECURRENCE_DN	0	0	0	0	0	0	BARRIER_COLON_CANCER_RECURRENCE_DN
BARRIER_COLON_CANCER_RECURRENCE_UP	0.502543277545009	0	0	0	0	0	BARRIER_COLON_CANCER_RECURRENCE_UP
BASAKI_YBX1_TARGETS_DN	0.269053624164829	0.723959218662222	0.882452111055563	0.287133424719693	1.87432810914027	0.303831050155941	BASAKI_YBX1_TARGETS_DN
BASAKI_YBX1_TARGETS_UP	0.00620169772179179	0.238031283069601	12.1942483003089	1.01848228317324	0.0522913443545747	0.0760646463121408	BASAKI_YBX1_TARGETS_UP
BASSO_B_LYMPHOCYTE_NETWORK	0.174855530325109	0.00124357501235734	4.14652485356305	0.308086386808846	0.496908643877409	0.63274556509088	BASSO_B_LYMPHOCYTE_NETWORK
BASSO_CD40_SIGNALING_DN	1.38649129418555	0.89790445620965	0.140844028956818	0.144612780816751	0.304136588000792	0.955082543337444	BASSO_CD40_SIGNALING_DN
BASSO_CD40_SIGNALING_UP	0.398599037940792	2.34382245863832	0.0541493830507752	0.467503607668276	3.05716200165907	1.15912544040825	BASSO_CD40_SIGNALING_UP
BASSO_HAIRY_CELL_LEUKEMIA_DN	0	0	0	0	0	0	BASSO_HAIRY_CELL_LEUKEMIA_DN
BASSO_HAIRY_CELL_LEUKEMIA_UP	0.951104808559258	0.473019678582177	0.262964234651067	0	1.18992028673731	0	BASSO_HAIRY_CELL_LEUKEMIA_UP
BAUS_TFF2_TARGETS_DN	0	0	0	0	0	0	BAUS_TFF2_TARGETS_DN
BAUS_TFF2_TARGETS_UP	0.825910158549598	0.820046157925885	0	0	0	0.729091089356351	BAUS_TFF2_TARGETS_UP
BCAT.100_UP.V1_DN	0	0	0	0	0	0	BCAT.100_UP.V1_DN
BCAT.100_UP.V1_UP	0	0	0	0	0	0	BCAT.100_UP.V1_UP
BCAT_BILD_ET_AL_DN	0.135590197197273	0.13379829837659	0	0	0.435586462000282	0	BCAT_BILD_ET_AL_DN
BCAT_BILD_ET_AL_UP	0.502543277545009	0	0	0.280349499740119	0.478275847068507	0	BCAT_BILD_ET_AL_UP
BCAT_GDS748_DN	0	0	0.275238016221916	0	0.478275847068507	0.540783516339656	BCAT_GDS748_DN
BCAT_GDS748_UP	0.274307275075792	0.77168452712693	0	1.09510378530921	0	0.70219012856913	BCAT_GDS748_UP
BECKER_TAMOXIFEN_RESISTANCE_DN	0.274307275075792	0.77168452712693	0	0	0	0	BECKER_TAMOXIFEN_RESISTANCE_DN
BECKER_TAMOXIFEN_RESISTANCE_UP	0	0.221209693179314	0.350084537271857	0	0	0	BECKER_TAMOXIFEN_RESISTANCE_UP
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3	0	0	0	0	0	0	BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN	0	0	0	0	0	0	BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP	1.19377950621917	1.89175866842695	0	0.338496911636046	0	0.611702356591729	BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP
BEIER_GLIOMA_STEM_CELL_DN	0.607043821500928	0.600187504481486	0	0	0.909079061162685	0	BEIER_GLIOMA_STEM_CELL_DN
BEIER_GLIOMA_STEM_CELL_UP	0	0	0	0	0	0	BEIER_GLIOMA_STEM_CELL_UP
BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.879116378606608	0.873140754576696	0.458864523412642	0	0	0	BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS
BENPORATH_CYCLING_GENES	0.0328031661568724	0.341703619778468	1.51428530050369	0.866959731799367	0.0247898197975934	0.0514552333099234	BENPORATH_CYCLING_GENES
BENPORATH_EED_TARGETS	0.508064490588385	1.23640621978141	0.614004653549278	3.08251238488096	0.403673139785469	0.0678555742061458	BENPORATH_EED_TARGETS
BENPORATH_ES_1	0.25829576163349	0.000370525883300897	12.2257390673533	0.0294571089697116	0.206353988006054	0.0292318422737655	BENPORATH_ES_1
BENPORATH_ES_2	0.317102771137706	0	0.458864523412642	0	0	0.758206063213093	BENPORATH_ES_2
BENPORATH_ES_CORE_NINE	0	0	0	0	0	0	BENPORATH_ES_CORE_NINE
BENPORATH_ES_CORE_NINE_CORRELATED	0.526695651309999	0.0254728321349779	0.263930298528519	0.271504578749148	0	0	BENPORATH_ES_CORE_NINE_CORRELATED
BENPORATH_ES_WITH_H3K27ME3	0.195613849303716	1.69241937811479	1.18882321297545	2.09410300428123	1.37319301393757	0.0943165642896751	BENPORATH_ES_WITH_H3K27ME3
BENPORATH_MYC_MAX_TARGETS	0	0	0	0	0	0	BENPORATH_MYC_MAX_TARGETS
BENPORATH_MYC_TARGETS_WITH_EBOX	0.0753600172729591	0.552199651040256	1.76637159667572	0.173258978821387	0.0359022343976528	0.0550174818960108	BENPORATH_MYC_TARGETS_WITH_EBOX
BENPORATH_NANOG_TARGETS	0	0	0	0	0	0	BENPORATH_NANOG_TARGETS
BENPORATH_NOS_TARGETS	0.117900147110095	0.039374874146454	0.587672407536901	0.604314108292633	0.121375249189213	0.484870716786742	BENPORATH_NOS_TARGETS
BENPORATH_OCT4_TARGETS	0.00936147669619673	0.0271925198113776	0.470289691738689	0.298915547076688	0.136705948786195	0.774426075498268	BENPORATH_OCT4_TARGETS
BENPORATH_PRC2_TARGETS	0.0581031002853318	1.29339661101621	0.837452645080404	1.39748159357793	0	0.342503718993918	BENPORATH_PRC2_TARGETS
BENPORATH_PROLIFERATION	0.117900147110095	0.11504915609915	5.86157251260276	0.138222504973268	0.121375249189213	0.158360612705953	BENPORATH_PROLIFERATION
BENPORATH_SOX2_TARGETS	0.285865959973549	0.00101467762318313	0.446303098477132	0.360046627100333	0.617948253774037	0.105097620185619	BENPORATH_SOX2_TARGETS
BENPORATH_SUZ12_TARGETS	0.0143506738252439	0.587589466235544	0.922745978191064	2.78634629487321	0.970624261425412	0.710453093238519	BENPORATH_SUZ12_TARGETS
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	0	1.6006453083002	0.275238016221916	0	0	0	BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP	1.07639190582623	0	1.40452415373639	0	0	0	BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP
BERENJENO_TRANSFORMED_BY_RHOA_DN	4.55077090732972	0.118706552253241	0.216912365205141	0.777185856654676	0.35495875968162	0.261800678234869	BERENJENO_TRANSFORMED_BY_RHOA_DN
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN	1.07639190582623	0.398485267677524	0	0	0	0	BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN
